rrul,TCP download BE,TCP upload sum,TCP upload BK,Ping (ms) UDP BE,Ping (ms) UDP BK,TCP upload BE,Ping (ms) avg,Ping (ms) ICMP,TCP download BK,TCP totals,TCP upload avg,TCP download EF,TCP download CS5,Ping (ms) UDP EF,TCP upload EF,TCP upload CS5,TCP download sum,TCP download avg
0.0,,,,,,,51.2,51.2,,,,,,,,,,
0.2,,,,,51.5995872033,,51.5328094425,51.399253921,,,,,,51.5995872033,,,,
0.4,,,,51.5364188432,51.5861498226,,51.5342737224,51.4,,,,,,51.6145262237,,,,
0.6,,,,51.4819172416,51.5352586866,,51.4967092961,51.4,,,,,,51.5696612561,,,,
0.8,,,,51.4880483297,51.4814738549,,51.4576566233,51.3013839071,,,,,,51.5597204015,,,,
1.0,,,,51.529700273,51.4889704518,,51.497902459,51.3982773226,,,,,,51.5746617884,,,,
1.2,,,,51.5100812809,51.5198351365,,51.5185475358,51.4978819733,,,,,,51.5463917526,,,,
1.4,,,,51.4652323805,51.5482996756,,51.5204376252,51.5,,,,,,51.5682184446,,,,
1.6,,,,51.4971375871,51.5473846569,,51.5309825399,51.5,,,,,,51.5794079157,,,,
1.8,,,,51.4334574986,51.4482361407,,51.4048475653,51.2097364827,,,,,,51.5279601393,,,,
2.0,,,,51.4505845473,51.4739470787,,51.4568912295,51.3928419692,,,,,,51.5101913227,,,,
2.2,,,,51.5462378472,51.499683718,,51.4480787544,51.2076752769,,,,,,51.5387181754,,,,
2.4,,,,51.4357684271,51.5086306019,,51.3920746197,51.1040643135,,,,,,51.5198351365,,,,
2.6,,,,51.4214665399,51.4668039115,,51.4233222898,51.2913038413,,,,,,51.5137148664,,,,
2.8,,,,51.4637659046,51.4668039115,,51.4521155475,51.3952651346,,,,,,51.4826272391,,,,
3.0,,,,51.4427098771,51.4633950948,,51.4377499126,51.4,,,,,,51.4448946784,,,,
3.2,,,,51.463586418,51.4403292181,,51.4417266667,51.4,,,,,,51.4629910307,,,,
3.4,,,,51.4163971344,51.4403292181,,51.379498011,51.211471413,,,,,,51.4497942785,,,,
3.6,,,,51.4931029297,51.4436190408,,51.4827415912,51.4815585856,,,,,,51.5126858086,,,,
3.8,,,,51.4156159339,51.5195101014,,51.4224969957,51.3129231837,,,,,,51.4419387636,,,,
4.0,,,,51.4641125606,51.4937535074,,51.4078518593,51.2067374575,,,,,,51.4668039115,,,,
4.2,,,,51.3452677796,51.4171656497,,51.3805366767,51.292976715,,,,,,51.4667365625,,,,
4.4,,,,51.3111225638,51.3647795651,,51.3310539744,51.2072807869,,,,,,51.4410329817,,,,
4.6,,,,52.4748392841,53.9651545263,,53.4407407814,51.384586973,,,,,,55.9383823423,,,,
4.8,,,,51.8026979535,52.1214065122,,51.9685849478,51.4,,,,,,52.5502353253,,,,
5.0,,,,52.099628917,52.0785436071,,51.8454022478,51.1248928601,,,,,,52.0785436071,,,,
5.2,,,,103.401460508,103.508650873,,121.130670962,174.103921594,,,,,,103.508650873,,,,
5.4,,,,183.267314677,183.653678694,,214.720516656,308.264704992,,,,,,183.69636826,,,,
5.6,,,,326.636822317,327.813064404,,356.246412315,442.425328458,,,,,,328.110434079,,,,
5.8,,,,470.006500867,471.972621967,,482.614039083,515.952361445,,,,,,472.524672053,,,,
6.0,,,,564.971751412,541.755641796,,548.050695194,544.116959551,,,,,,541.358428014,,,,
6.2,0.10594548702,,,,462.307108171,,474.184428921,498.336284203,0.104120773086,0.312663181628,,0.102596921521,,461.909894389,,,0.312663181628,0.104221060543
6.4,0.356792939579,,,,406.504065041,,384.304533903,339.905471628,0.353279139253,1.06099112615,,0.350919047318,,406.504065041,,,1.06099112615,0.353663708717
6.6,1.0428625233,,,,,,214.560805017,214.560805017,1.00856703419,3.0357411375,,0.984311580014,,,,,3.0357411375,1.0119137125
6.8,2.40981368834,,,,,,142.535925256,142.535925256,2.3194570299,6.96301774199,,2.22374702374,0.01,,,,6.96301774199,1.7407544355
7.0,4.04447315171,0.822815997155,,,,0.442815997155,94.8424433163,94.8424433163,3.81120299128,13.6005708137,0.411407998577,3.67453861473,1.24754005884,,,0.38,12.7777548166,3.19443870414
7.2,5.87435022459,0.406604292099,,,,0.406604292099,83.7216341956,83.7216341956,5.41398982859,22.0267970136,0.406604292099,5.31467721923,5.01717544908,,,,21.6201927215,5.40504818037
7.4,6.68032090443,0.370392587042,,,,0.370392587042,87.1005345187,87.1005345187,6.6949185218,35.4144976969,0.370392587042,7.65913143731,14.0097342463,,,,35.0441051099,8.76102627747
7.6,6.30074224938,0.334180925154,,,,0.334180925154,93.7097386406,93.7097386406,6.31948691903,30.7541519267,0.334180925154,6.6427191834,11.1570226498,,,,30.4199710016,7.60499275039
7.8,6.90963851706,0.297969220097,,,,0.297969220097,98.9876903343,98.9876903343,6.53104969715,34.2196479337,0.297969220097,6.05382930584,14.4271611935,,,,33.9216787136,8.48041967839
8.0,7.46341558973,,,,,,104.494615462,104.494615462,7.77654552509,37.1468025733,,6.83923510938,15.0676063491,,,,37.1468025733,9.28670064334
8.2,6.67740333146,0.48,0.24,,,,116.467092879,116.467092879,8.43024918312,38.3742281576,0.24,8.14213451589,14.6444411271,,0.24,,37.8942281576,9.4735570394
8.4,5.47008029132,0.226745954448,,,,,138.323205581,138.323205581,7.35579156471,33.2639611274,0.226745954448,7.80375537327,12.4075879437,,,0.226745954448,33.037215173,8.25930379324
8.6,4.34065447687,0.203196042148,,,,,161.565081803,161.565081803,4.56115494921,27.7899289861,0.203196042148,4.76492038263,13.9200031352,,,0.203196042148,27.5867329439,6.89668323598
8.8,5.27664023755,0.179646101773,,,,,184.806985733,184.806985733,6.33585501054,31.4661187523,0.179646101773,4.09825340288,15.5757239996,,,0.179646101773,31.2864726505,7.82161816264
9.0,4.09051975265,0.156096161398,,,,,147.804105124,147.804105124,9.10579110311,33.3452268287,0.156096161398,8.59769671892,11.3951230927,,,0.156096161398,33.1891306673,8.29728266683
9.2,4.31126591102,0.132546221024,,,,,153.206248454,153.206248454,6.74439932925,29.615180639,0.132546221024,6.80365979748,11.6233093802,,,0.132546221024,29.482634418,7.37065860449
9.4,5.25583991865,0.11,,,,,157.079499165,157.079499165,5.49792540123,40.6630078815,0.11,7.5019014019,22.2973411598,,,0.11,40.5530078815,10.1382519704
9.6,6.42083254245,,,,,,177.626852654,177.626852654,10.3830274356,39.3121882219,,9.33598255161,13.1723456922,,,,39.3121882219,9.82804705548
9.8,4.47244462151,,,,,,159.362070203,159.362070203,9.41972416712,41.1262968134,,8.61727132269,18.6168567021,,,,41.1262968134,10.2815742034
10.0,5.08310634301,,,,,,164.733561489,164.733561489,6.96567303804,40.8465633219,,7.38386064485,21.413923296,,,,40.8465633219,10.2116408305
10.2,5.33857029453,,,,,,181.227507136,181.227507136,8.50239539089,38.9649228213,,7.40176965447,17.7221874814,,,,38.9649228213,9.74123070532
10.4,3.83856992878,,,,,,187.572901698,187.572901698,10.5528526299,37.7137455801,,8.99630610591,14.3260169155,,,,37.7137455801,9.42843639504
10.6,4.4663372936,,,,,,190.677794556,190.677794556,10.851160897,39.1336441923,,10.2480876368,13.5680583649,,,,39.1336441923,9.78341104807
10.8,5.34867856783,,,,,,193.566618397,193.566618397,10.5361783657,43.2588700179,,9.51863598379,17.8553771006,,,,43.2588700179,10.8147175045
11.0,4.84601599073,,,,,,200.411331543,200.411331543,8.35761605035,39.4243684885,,9.69927803379,16.5214584137,,,,39.4243684885,9.85609212214
11.2,3.49908996176,,,,,,207.954252785,207.954252785,7.52826326412,35.3184850312,,9.21180752145,15.0793242838,,,,35.3184850312,8.82962125779
11.4,3.79257436348,0.107186473432,,,,,206.399795536,206.399795536,8.18086232578,37.1445048129,0.107186473432,9.32316063918,15.7407210111,,0.107186473432,,37.0373183395,9.25932958488
11.6,4.17954665368,0.0986523449551,,,,,214.030574554,214.030574554,9.32468509826,35.6197657428,0.0986523449551,7.44857394603,14.5683076999,,0.0986523449551,,35.5211133979,8.88027834947
11.8,4.36907848677,0.0901182063047,,,,,226.631852416,226.631852416,10.2541605152,39.301317199,0.0901182063047,9.9550800927,14.632879898,,0.0901182063047,,39.2111989927,9.80279974818
12.0,4.58906263687,0.0815840676544,,,,,229.156894931,229.156894931,10.4121526088,40.5826036369,0.0815840676544,10.6217464945,14.8780578291,,0.0815840676544,,40.5010195692,10.1252548923
12.2,4.78717983843,0.073049929004,,,,,229.206422125,229.206422125,10.8842166463,41.523598939,0.073049929004,10.9211461694,14.8580063558,,0.073049929004,,41.45054901,10.3626372525
12.4,4.84176242644,,,,,,233.112604766,233.112604766,11.3534056103,41.8768149952,,11.0861180616,14.5955288969,,,,41.8768149952,10.4692037488
12.6,5.11180437604,,,,,,236.518964846,236.518964846,11.546682805,42.3032678548,,11.3308295476,14.3139511262,,,,42.3032678548,10.5758169637
12.8,5.32348958823,,,,,,239.459334504,239.459334504,11.4626994996,43.4714653188,,12.5135296748,14.1717465562,,,,43.4714653188,10.8678663297
13.0,5.42694320642,,,,,,243.713987479,243.713987479,11.8120568145,44.4222619147,,13.3030134076,13.8802484862,,,,44.4222619147,11.1055654787
13.2,5.57134623923,,,,,,249.415282546,249.415282546,12.4250609726,43.5725393962,,11.8322046674,13.7439275169,,,,43.5725393962,10.8931348491
13.4,5.83704805374,,,,,,251.537698783,251.537698783,12.7766809082,45.2389255734,,12.8281564065,13.797040205,,,,45.2389255734,11.3097313934
13.6,6.23704767227,,,,,,251.392781623,251.392781623,13.2806804276,46.4610464498,,13.1171279754,13.8261903745,,,,46.4610464498,11.6152616124
13.8,6.30798469299,,,,,,257.826736549,257.826736549,13.6091795246,46.8740348853,,13.3653633581,13.5915073096,,,,46.8740348853,11.7185087213
14.0,6.55188914777,,,,,,263.625071066,263.625071066,13.7317082466,49.093957214,,14.9129702214,13.8973895982,,,,49.093957214,12.2734893035
14.2,7.03688330266,,,,,,266.550405113,266.550405113,13.9788423224,52.188505169,,17.6832580579,13.4895214861,,,,52.188505169,13.0471262923
14.4,7.832996191,,,,,,259.322291248,259.322291248,15.196233816,52.6112616032,,16.0284710843,13.5535605118,,,,52.6112616032,13.1528154008
14.6,8.2314023006,,,,,,253.072476808,253.072476808,15.7864551806,51.0417674547,,12.5552805341,14.4686294394,,,,51.0417674547,12.7604418637
14.8,8.49149035175,,,,,,260.293023744,260.293023744,16.0689812504,48.3623164895,,9.62329176006,14.1785531273,,,,48.3623164895,12.0905791224
15.0,9.46606370901,,,,,,270.507900015,270.507900015,15.9521802526,58.4605295864,,19.6104274667,13.4318581581,,,,58.4605295864,14.6151323966
15.2,10.9189521831,,,,,,291.272149995,291.272149995,15.3514974803,60.3405339115,,21.1928113597,12.8772728884,,,,60.3405339115,15.0851334779
15.4,11.9439301863,,,,,,297.089959166,297.089959166,20.88643308,60.2566736883,,14.6357042348,12.7906061873,,,,60.2566736883,15.0641684221
15.6,10.763248965,,,,,,307.568041115,307.568041115,20.3890320679,53.044323782,,9.17976902622,12.7122737228,,,,53.044323782,13.2610809455
15.8,2.77811145766,,,,,,309.887584519,309.887584519,7.42559081822,37.1139434431,,14.2840963308,12.6261448364,,,,37.1139434431,9.27848586077
16.0,10.5053037381,,,,,,310.933740217,310.933740217,16.0514708145,57.4279307614,,18.3499497074,12.5212065015,,,,57.4279307614,14.3569826904
