RTT,Davg,Uavg,Dsum,Usum
69.16,2.09,0.23,6.76,0.31
62.42,2.27,0.17,9.07,0.38
60.88,2.31,0.19,9.25,0.23
123.53,1.97,0.19,7.87,0.24
175.36,1.99,0.21,7.94,0.24
349.96,1.91,0.24,7.61,0.28
113.23,2.31,0.20,9.24,0.38
70.10,2.05,0.24,6.44,0.39
60.82,2.26,0.18,9.06,0.19
60.85,2.31,0.18,9.25,0.31
121.60,2.00,0.19,7.99,0.25
171.51,1.99,0.20,7.96,0.25
361.21,1.80,0.24,6.86,0.34
113.30,2.31,0.21,9.24,0.24
70.18,1.94,0.25,6.35,0.36
60.83,2.25,0.18,9.01,0.34
228.72,2.31,0.19,9.26,0.21
121.39,1.98,0.20,7.90,0.23
175.27,2.02,0.20,6.06,0.27
367.85,1.64,0.25,6.56,0.35
112.44,2.31,0.20,9.25,0.33
70.45,1.85,0.23,4.39,0.32
60.58,2.26,0.18,9.02,0.52
60.30,2.31,0.19,9.24,0.31
120.51,1.97,0.19,7.86,0.24
173.88,1.98,0.20,7.91,0.31
352.52,1.80,0.23,7.13,0.27
112.91,2.31,0.20,9.25,0.21
70.60,1.84,0.24,6.84,0.36
60.86,2.26,0.17,9.04,0.38
61.08,2.31,0.20,9.25,0.22
121.46,1.96,0.19,7.82,0.22
171.17,2.03,0.20,8.11,0.26
359.43,1.67,0.24,6.67,0.30
112.62,2.31,0.20,9.26,0.27
